[2025-10-17 05:07:05] User: admin (staff) | Page: dashboard | Status: ALLOWED | IP: ::1
[2025-10-17 05:07:31] User: admin (staff) | Page: room_booking | Status: ALLOWED | IP: ::1
[2025-10-17 05:07:31] User: admin (staff) | Page: dashboard | Status: ALLOWED | IP: ::1
[2025-10-17 05:07:33] User: admin (staff) | Page: room_booking | Status: ALLOWED | IP: ::1
[2025-10-17 05:07:33] User: admin (staff) | Page: dashboard | Status: ALLOWED | IP: ::1
[2025-10-17 05:07:33] User: admin (staff) | Page: room_booking | Status: ALLOWED | IP: ::1
[2025-10-17 05:07:33] User: admin (staff) | Page: dashboard | Status: ALLOWED | IP: ::1
[2025-10-17 05:07:34] User: admin (staff) | Page: notifications | Status: ALLOWED | IP: ::1
[2025-10-17 05:07:37] User: admin (staff) | Page: room_booking | Status: ALLOWED | IP: ::1
[2025-10-17 05:07:37] User: admin (staff) | Page: dashboard | Status: ALLOWED | IP: ::1
[2025-10-17 05:07:45] User: admin (staff) | Page: notifications | Status: ALLOWED | IP: ::1
[2025-10-17 05:08:12] User: admin (staff) | Page: notifications | Status: ALLOWED | IP: ::1
[2025-10-17 05:09:10] User: admin (staff) | Page: notifications | Status: ALLOWED | IP: ::1
[2025-10-17 05:09:17] User: admin (staff) | Page: notifications | Status: ALLOWED | IP: ::1
[2025-10-17 05:09:47] User: admin (staff) | Page: notifications | Status: ALLOWED | IP: ::1
[2025-10-17 05:09:53] User: admin (staff) | Page: notifications | Status: ALLOWED | IP: ::1
[2025-10-17 05:11:14] User: admin (staff) | Page: messages | Status: ALLOWED | IP: ::1
[2025-10-17 05:11:17] User: admin (staff) | Page: room_booking | Status: ALLOWED | IP: ::1
[2025-10-17 05:11:17] User: admin (staff) | Page: dashboard | Status: ALLOWED | IP: ::1
[2025-10-17 05:11:19] User: admin (staff) | Page: notifications | Status: ALLOWED | IP: ::1
[2025-10-17 05:11:24] User: admin (staff) | Page: add_room | Status: DENIED | IP: ::1
[2025-10-17 05:11:37] User: admin (staff) | Page: messages | Status: ALLOWED | IP: ::1
[2025-10-17 05:11:39] User: admin (staff) | Page: profit | Status: DENIED | IP: ::1
[2025-10-17 05:11:57] User: admin (staff) | Page: room_management | Status: DENIED | IP: ::1
[2025-10-17 05:13:40] User: manager (manager) | Page: dashboard | Status: ALLOWED | IP: ::1
[2025-10-17 05:13:45] User: manager (manager) | Page: room_booking | Status: ALLOWED | IP: ::1
[2025-10-17 05:13:45] User: manager (manager) | Page: dashboard | Status: ALLOWED | IP: ::1
[2025-10-17 05:13:46] User: manager (manager) | Page: room_booking | Status: ALLOWED | IP: ::1
[2025-10-17 05:13:46] User: manager (manager) | Page: dashboard | Status: ALLOWED | IP: ::1
[2025-10-17 05:13:56] User: manager (manager) | Page: payment | Status: ALLOWED | IP: ::1
[2025-10-17 05:13:57] User: manager (manager) | Page: profit | Status: ALLOWED | IP: ::1
[2025-10-17 05:13:59] User: manager (manager) | Page: payment | Status: ALLOWED | IP: ::1
[2025-10-17 05:14:01] User: manager (manager) | Page: room_booking | Status: ALLOWED | IP: ::1
[2025-10-17 05:14:01] User: manager (manager) | Page: dashboard | Status: ALLOWED | IP: ::1
[2025-10-17 05:14:09] User: manager (manager) | Page: dashboard | Status: ALLOWED | IP: ::1
[2025-10-17 05:14:13] User: manager (manager) | Page: pricing | Status: ALLOWED | IP: ::1
[2025-10-17 05:14:18] User: manager (manager) | Page: messages | Status: ALLOWED | IP: ::1
[2025-10-17 05:14:21] User: manager (manager) | Page: dashboard | Status: ALLOWED | IP: ::1
[2025-10-17 05:14:22] User: manager (manager) | Page: room_management | Status: ALLOWED | IP: ::1
[2025-10-17 05:14:25] User: manager (manager) | Page: room_management | Status: ALLOWED | IP: ::1
[2025-10-17 05:14:29] User: manager (manager) | Page: room_management | Status: ALLOWED | IP: ::1
[2025-10-17 05:14:31] User: manager (manager) | Page: dashboard | Status: ALLOWED | IP: ::1
[2025-10-17 05:14:36] User: manager (manager) | Page: room_management | Status: ALLOWED | IP: ::1
[2025-10-17 05:14:38] User: manager (manager) | Page: add_room | Status: ALLOWED | IP: ::1
[2025-10-17 05:14:56] User: manager (manager) | Page: dashboard | Status: ALLOWED | IP: ::1
[2025-10-17 05:15:01] User: manager (manager) | Page: room_booking | Status: ALLOWED | IP: ::1
[2025-10-17 05:15:01] User: manager (manager) | Page: dashboard | Status: ALLOWED | IP: ::1
[2025-10-17 05:15:08] User: manager (manager) | Page: dashboard | Status: ALLOWED | IP: ::1
[2025-10-17 05:15:23] User: staff (staff) | Page: dashboard | Status: ALLOWED | IP: ::1
[2025-10-17 05:15:27] User: staff (staff) | Page: room_booking | Status: ALLOWED | IP: ::1
[2025-10-17 05:15:28] User: staff (staff) | Page: dashboard | Status: ALLOWED | IP: ::1
[2025-10-17 05:15:28] User: staff (staff) | Page: room_booking | Status: ALLOWED | IP: ::1
[2025-10-17 05:15:28] User: staff (staff) | Page: dashboard | Status: ALLOWED | IP: ::1
[2025-10-17 05:15:28] User: staff (staff) | Page: room_booking | Status: ALLOWED | IP: ::1
[2025-10-17 05:15:28] User: staff (staff) | Page: dashboard | Status: ALLOWED | IP: ::1
[2025-10-17 05:15:29] User: staff (staff) | Page: room_booking | Status: ALLOWED | IP: ::1
[2025-10-17 05:15:29] User: staff (staff) | Page: dashboard | Status: ALLOWED | IP: ::1
[2025-10-17 05:15:29] User: staff (staff) | Page: room_booking | Status: ALLOWED | IP: ::1
[2025-10-17 05:15:29] User: staff (staff) | Page: dashboard | Status: ALLOWED | IP: ::1
[2025-10-17 05:15:29] User: staff (staff) | Page: room_booking | Status: ALLOWED | IP: ::1
[2025-10-17 05:15:29] User: staff (staff) | Page: dashboard | Status: ALLOWED | IP: ::1
[2025-10-17 05:15:29] User: staff (staff) | Page: room_booking | Status: ALLOWED | IP: ::1
[2025-10-17 05:15:29] User: staff (staff) | Page: dashboard | Status: ALLOWED | IP: ::1
[2025-10-17 05:15:29] User: staff (staff) | Page: room_booking | Status: ALLOWED | IP: ::1
[2025-10-17 05:15:29] User: staff (staff) | Page: dashboard | Status: ALLOWED | IP: ::1
[2025-10-17 05:15:30] User: staff (staff) | Page: room_booking | Status: ALLOWED | IP: ::1
[2025-10-17 05:15:30] User: staff (staff) | Page: dashboard | Status: ALLOWED | IP: ::1
[2025-10-17 05:15:30] User: staff (staff) | Page: room_booking | Status: ALLOWED | IP: ::1
[2025-10-17 05:15:30] User: staff (staff) | Page: dashboard | Status: ALLOWED | IP: ::1
[2025-10-17 05:15:31] User: staff (staff) | Page: room_booking | Status: ALLOWED | IP: ::1
[2025-10-17 05:15:31] User: staff (staff) | Page: dashboard | Status: ALLOWED | IP: ::1
[2025-10-17 05:15:31] User: staff (staff) | Page: room_booking | Status: ALLOWED | IP: ::1
[2025-10-17 05:15:31] User: staff (staff) | Page: dashboard | Status: ALLOWED | IP: ::1
[2025-10-17 05:15:32] User: staff (staff) | Page: room_booking | Status: ALLOWED | IP: ::1
[2025-10-17 05:15:32] User: staff (staff) | Page: dashboard | Status: ALLOWED | IP: ::1
[2025-10-17 05:15:32] User: staff (staff) | Page: room_booking | Status: ALLOWED | IP: ::1
[2025-10-17 05:15:32] User: staff (staff) | Page: dashboard | Status: ALLOWED | IP: ::1
[2025-10-17 05:15:32] User: staff (staff) | Page: room_booking | Status: ALLOWED | IP: ::1
[2025-10-17 05:15:32] User: staff (staff) | Page: dashboard | Status: ALLOWED | IP: ::1
[2025-10-17 05:15:40] User: staff (staff) | Page: notifications | Status: ALLOWED | IP: ::1
[2025-10-17 05:15:41] User: staff (staff) | Page: payment | Status: DENIED | IP: ::1
[2025-10-17 05:21:22] User: staff (staff) | Page: dashboard | Status: ALLOWED | IP: ::1
[2025-10-17 05:21:37] User: staff (staff) | Page: dashboard | Status: ALLOWED | IP: ::1
[2025-10-17 05:21:37] User: staff (staff) | Page: dashboard | Status: ALLOWED | IP: ::1
[2025-10-17 05:21:43] User: staff (staff) | Page: dashboard | Status: ALLOWED | IP: ::1
[2025-10-17 05:22:34] User: admin (admin) | Page: dashboard | Status: ALLOWED | IP: ::1
[2025-10-17 05:23:25] User: admin (admin) | Page: dashboard | Status: ALLOWED | IP: ::1
[2025-10-17 05:25:12] User: admin (admin) | Page: dashboard | Status: ALLOWED | IP: ::1
[2025-10-17 05:25:13] User: admin (admin) | Page: dashboard | Status: ALLOWED | IP: ::1
[2025-10-17 05:25:21] User: admin (admin) | Page: dashboard | Status: ALLOWED | IP: ::1
[2025-10-17 05:27:17] User: admin (admin) | Page: dashboard | Status: ALLOWED | IP: ::1
[2025-10-17 05:27:17] User: admin (admin) | Page: dashboard | Status: ALLOWED | IP: ::1
[2025-10-17 05:30:23] User: admin (admin) | Page: dashboard | Status: ALLOWED | IP: ::1
[2025-10-17 05:30:23] User: admin (admin) | Page: dashboard | Status: ALLOWED | IP: ::1
[2025-10-17 05:30:24] User: admin (admin) | Page: dashboard | Status: ALLOWED | IP: ::1
[2025-10-17 05:30:24] User: admin (admin) | Page: dashboard | Status: ALLOWED | IP: ::1
[2025-10-17 05:30:24] User: admin (admin) | Page: dashboard | Status: ALLOWED | IP: ::1
[2025-10-17 05:30:55] User: admin (admin) | Page: dashboard | Status: ALLOWED | IP: ::1
[2025-10-17 05:30:59] User: admin (admin) | Page: dashboard | Status: ALLOWED | IP: ::1
[2025-10-17 05:31:00] User: admin (admin) | Page: dashboard | Status: ALLOWED | IP: ::1
[2025-10-17 05:31:01] User: admin (admin) | Page: dashboard | Status: ALLOWED | IP: ::1
[2025-10-17 05:31:02] User: admin (admin) | Page: dashboard | Status: ALLOWED | IP: ::1
[2025-10-17 05:31:43] User: admin (admin) | Page: dashboard | Status: ALLOWED | IP: ::1
[2025-10-17 05:31:44] User: admin (admin) | Page: dashboard | Status: ALLOWED | IP: ::1
[2025-10-17 05:39:43] User: admin (admin) | Page: dashboard | Status: ALLOWED | IP: ::1
[2025-10-17 05:39:44] User: admin (admin) | Page: dashboard | Status: ALLOWED | IP: ::1
[2025-10-17 05:39:45] User: admin (admin) | Page: dashboard | Status: ALLOWED | IP: ::1
[2025-10-17 05:42:49] User: admin (admin) | Page: dashboard | Status: ALLOWED | IP: ::1
[2025-10-17 05:42:50] User: admin (admin) | Page: dashboard | Status: ALLOWED | IP: ::1
[2025-10-17 05:43:06] User: admin (admin) | Page: dashboard | Status: ALLOWED | IP: ::1
[2025-10-17 05:46:06] User: admin (admin) | Page: dashboard | Status: ALLOWED | IP: ::1
[2025-10-17 05:46:54] User: admin (admin) | Page: dashboard | Status: ALLOWED | IP: ::1
[2025-10-17 05:46:55] User: admin (admin) | Page: dashboard | Status: ALLOWED | IP: ::1
[2025-10-17 05:46:57] User: admin (admin) | Page: dashboard | Status: ALLOWED | IP: ::1
[2025-10-17 05:47:35] User: admin (admin) | Page: dashboard | Status: ALLOWED | IP: ::1
[2025-10-17 05:48:19] User: admin (admin) | Page: dashboard | Status: ALLOWED | IP: ::1
[2025-10-17 05:48:20] User: admin (admin) | Page: dashboard | Status: ALLOWED | IP: ::1
[2025-10-17 05:53:16] User: admin (admin) | Page: dashboard | Status: ALLOWED | IP: ::1
[2025-10-17 05:54:21] User: admin (admin) | Page: messages | Status: ALLOWED | IP: ::1
[2025-10-17 05:54:38] User: admin (admin) | Page: messages | Status: ALLOWED | IP: ::1
[2025-10-17 05:54:43] User: admin (admin) | Page: dashboard | Status: ALLOWED | IP: ::1
[2025-10-17 05:54:59] User: admin (admin) | Page: dashboard | Status: ALLOWED | IP: ::1
[2025-10-17 05:59:14] User: admin (admin) | Page: dashboard | Status: ALLOWED | IP: ::1
[2025-10-17 05:59:15] User: admin (admin) | Page: dashboard | Status: ALLOWED | IP: ::1
[2025-10-17 05:59:16] User: admin (admin) | Page: dashboard | Status: ALLOWED | IP: ::1
[2025-10-17 05:59:19] User: admin (admin) | Page: dashboard | Status: ALLOWED | IP: ::1
[2025-10-17 05:59:24] User: admin (admin) | Page: messages | Status: ALLOWED | IP: ::1
[2025-10-17 05:59:25] User: admin (admin) | Page: messages | Status: ALLOWED | IP: ::1
[2025-10-17 05:59:31] User: admin (admin) | Page: messages | Status: ALLOWED | IP: ::1
[2025-10-17 06:02:53] User: admin (admin) | Page: messages | Status: ALLOWED | IP: ::1
[2025-10-17 06:02:53] User: admin (admin) | Page: messages | Status: ALLOWED | IP: ::1
[2025-10-17 06:02:58] User: admin (admin) | Page: messages | Status: ALLOWED | IP: ::1
[2025-10-17 06:03:05] User: admin (admin) | Page: messages | Status: ALLOWED | IP: ::1
[2025-10-17 06:03:43] User: admin (admin) | Page: dashboard | Status: ALLOWED | IP: ::1
[2025-10-17 06:03:51] User: admin (admin) | Page: dashboard | Status: ALLOWED | IP: ::1
[2025-10-17 06:04:42] User: admin (admin) | Page: dashboard | Status: ALLOWED | IP: ::1
[2025-10-17 06:07:11] User: admin (admin) | Page: dashboard | Status: ALLOWED | IP: ::1
[2025-10-17 06:07:11] User: admin (admin) | Page: dashboard | Status: ALLOWED | IP: ::1
[2025-10-17 06:07:12] User: admin (admin) | Page: dashboard | Status: ALLOWED | IP: ::1
[2025-10-17 06:07:15] User: admin (admin) | Page: dashboard | Status: ALLOWED | IP: ::1
[2025-10-17 06:07:38] User: admin (admin) | Page: room_booking | Status: ALLOWED | IP: ::1
[2025-10-17 06:07:38] User: admin (admin) | Page: dashboard | Status: ALLOWED | IP: ::1
